Nome do Parlamentar,Estado,Valor Total Gasto
JHONATAN DE JESUS,RR,"R$ 2199968,55"
EDIO LOPES,RR,"R$ 2167492,52"
REMÍDIO MONAI,RR,"R$ 2156400,21"
HIRAN GONÇALVES,RR,"R$ 2124162,39"
CARLOS ANDRADE,RR,"R$ 2109899,27"
VINICIUS GURGEL,AP,"R$ 2101224,81"
JÉSSICA SALES,AC,"R$ 2093041,48"
ABEL MESQUITA JR.,RR,"R$ 2093033,49"
MARIA HELENA,RR,"R$ 2091810,27"
SILAS CÂMARA,AM,"R$ 2084327,59"
NILTON CAPIXABA,RO,"R$ 2083254,07"
ROCHA,AC,"R$ 2061305,02"
ARNALDO JORDY,PA,"R$ 2047701,37"
ALAN RICK,AC,"R$ 2043653,19"
LINDOMAR GARÇON,RO,"R$ 2039070,94"
JOSUÉ BENGTSON,PA,"R$ 2038481,65"
DOMINGOS NETO,CE,"R$ 2036634,27"
DANILO FORTE,CE,"R$ 2035921,44"
GORETE PEREIRA,CE,"R$ 2030398,16"
MARCOS REATEGUI,AP,"R$ 2026622,60"
ANDRÉ ABDON,AP,"R$ 2026116,93"
CLEBER VERDE,MA,"R$ 2025243,38"
WELLINGTON ROBERTO,PB,"R$ 2021884,17"
WILSON FILHO,PB,"R$ 2019985,03"
JOSÉ GUIMARÃES,CE,"R$ 2019633,50"
EFRAIM FILHO,PB,"R$ 2018227,91"
ZENAIDE MAIA,RN,"R$ 2018183,70"
RAIMUNDO GOMES DE MATOS,CE,"R$ 2013934,75"
BETO ROSADO,RN,"R$ 2012392,75"
HILDO ROCHA,MA,"R$ 2011361,72"
